doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-returns-refunds,data/k4_ecommerce/returns-policy.md,Chính sách trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77251?seo=1,2026-08-03,effective-2026-03-11,public-official-help-center
shopee-seller-listing,data/k4_ecommerce/seller-listing.md,Quy định đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-08-03,accessed-2026-08-03,public-official-help-center
shopee-shipping-policy,data/k4_ecommerce/shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-08-03,published-2026-03-20,public-official-help-center
shopee-privacy-policy,data/k4_ecommerce/privacy-policy.md,Chính sách bảo mật Shopee,https://help.shopee.vn/portal/4/article/77244,2026-08-03,effective-2026-06-11,public-official-help-center
shopee-payment-methods,data/k4_ecommerce/payment-methods.md,Các phương thức thanh toán trên Shopee,https://help.shopee.vn/portal/4/article/79198-,2026-08-03,accessed-2026-08-03,public-official-help-center
shopee-cod-guide,data/k4_ecommerce/cod-guide.md,Hướng dẫn và giới hạn thanh toán khi nhận hàng,https://help.shopee.vn/portal/4/article/79295-,2026-08-03,accessed-2026-08-03,public-official-help-center
